what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521775669180
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1521775670753
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1521775672010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1521775679056
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1521775679262
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1521775679451
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1521775679606
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1521775679766
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1521775679951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521775681737
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521775700888
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1521775702722
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1521775702910
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1521775709184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521775711230
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521775754905
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521775762110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521873822533
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1521873822765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521873823479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521873826032
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521873827940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521873829598
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521873830232
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1521873831651
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1521873831720
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1521873831907
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1521873832149
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1521873832247
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1521873832355
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1521873832426
